"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
5,17,960,"petite","second-15min",5,431,834,99269,436,100103,637,46217,88187,10025324,46854,10113511,"Equal Growth Rates"
5,18,960,"petite","second-15min",5,448,669,99428,453,100097,523,46071,70555,10050313,46594,10120868,"Equal Growth Rates"
5,19,960,"petite","second-15min",5,436,794,99368,441,100162,619,46088,83799,10024536,46707,10108335,"Equal Growth Rates"
5,20,960,"petite","second-15min",8,442,941,99375,450,100316,720,46236,100291,10053794,46956,10154085,"Equal Growth Rates"
5,21,960,"petite","second-15min",6,424,726,99366,430,100092,552,46076,77551,10052626,46628,10130177,"Equal Growth Rates"
5,22,960,"petite","second-15min",2,430,345,99753,432,100098,272,46332,36222,10068571,46604,10104793,"Equal Growth Rates"
5,23,960,"petite","second-15min",5,451,972,99049,456,100021,766,45832,102490,10003888,46598,10106378,"Equal Growth Rates"
5,24,960,"petite","second-15min",12,433,1753,98421,445,100174,1347,45878,184083,9950949,47225,10135032,"Equal Growth Rates"
5,25,960,"petite","second-15min",11,428,1578,98510,439,100088,1219,45805,165164,9966788,47024,10131952,"Equal Growth Rates"
5,26,960,"petite","second-15min",10,417,1206,98848,427,100054,949,45995,128068,9978109,46944,10106177,"Equal Growth Rates"
5,27,960,"petite","second-15min",5,436,652,99510,441,100162,512,46128,69930,10042588,46640,10112518,"Equal Growth Rates"
5,28,960,"petite","second-15min",3,429,527,99680,432,100207,407,46443,56363,10072737,46850,10129100,"Equal Growth Rates"
5,29,960,"petite","second-15min",2,437,337,99681,439,100018,245,46365,35707,10074973,46610,10110680,"Equal Growth Rates"
5,30,960,"petite","second-15min",1,434,103,99958,435,100061,77,46428,11152,10102729,46505,10113881,"Equal Growth Rates"
31,1,955,"petite","second-15min",377,231,50050,50070,608,100120,38769,22519,5164211,4931384,61288,10095595,"Equal Growth Rates"
31,2,955,"petite","second-15min",275,243,41546,58566,518,100112,31421,26463,4279180,5765656,57884,10044836,"Equal Growth Rates"
31,3,955,"petite","second-15min",241,280,34668,65748,521,100416,26275,29783,3575026,6473311,56058,10048337,"Equal Growth Rates"
31,4,960,"petite","second-15min",215,290,31394,68692,505,100086,24468,31828,3318899,6939726,56296,10258625,"Equal Growth Rates"
