"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
3,24,"petite","second",3733,4187,363160,636879,8374,1273758,295,417,31126,69095,834,138190,"10mill-boot"
3,25,"petite","second",3744,4201,361159,638952,8402,1277904,295,430,30164,69901,860,139802,"10mill-boot"
3,26,"petite","second",3773,4132,370243,629768,8264,1259536,265,453,26606,73417,906,146834,"10mill-boot"
3,27,"petite","second",3752,4157,368598,631543,8314,1263086,267,441,29957,70360,882,140720,"10mill-boot"
3,28,"petite","second",3798,4137,370026,630083,8274,1260166,292,429,30236,69885,858,139770,"10mill-boot"
3,29,"petite","second",3836,4098,371807,628286,8196,1256572,286,412,29339,70706,824,141412,"10mill-boot"
3,30,"petite","second",3682,4194,361421,638692,8388,1277384,268,450,28236,71788,900,143576,"10mill-boot"
2,1,"petite","second",3655,4194,358010,642109,8388,1284218,306,428,31296,68774,856,137548,"10mill-boot"
2,2,"petite","second",3713,4199,363484,636643,8398,1273286,284,431,29617,70441,862,140882,"10mill-boot"
2,3,"petite","second",3740,4173,368105,631909,8346,1263818,292,416,30261,69896,832,139792,"10mill-boot"
2,4,"petite","second",3656,4249,359600,640479,8498,1280958,276,423,30112,70024,846,140048,"10mill-boot"
2,5,"petite","second",3643,4225,357566,642545,8450,1285090,270,448,28208,71983,896,143966,"10mill-boot"
2,6,"petite","second",3627,4242,350925,649208,8484,1298416,249,431,26827,73173,862,146346,"10mill-boot"
2,7,"petite","second",3701,4207,357360,642685,8414,1285370,295,433,30265,69750,866,139500,"10mill-boot"
2,8,"petite","second",3656,4255,358932,641116,8510,1282232,304,430,31819,68198,860,136396,"10mill-boot"
2,9,"petite","second",3670,4196,360922,639128,8392,1278256,293,430,30775,69410,860,138820,"10mill-boot"
2,10,"petite","second",3759,4173,370216,629889,8346,1259778,301,436,30511,69702,872,139404,"10mill-boot"
2,11,"petite","second",3708,4187,365398,634643,8374,1269286,278,448,29384,70726,896,141452,"10mill-boot"
2,12,"petite","second",3663,4284,352586,647449,8568,1294898,311,432,32022,68189,864,136378,"10mill-boot"
2,13,"petite","second",3668,4195,361207,638883,8390,1277766,290,434,30278,69757,868,139514,"10mill-boot"
2,14,"petite","second",3737,4151,364514,635710,8302,1271420,269,426,28797,71224,852,142448,"10mill-boot"
2,15,"petite","second",3705,4212,364858,635266,8424,1270532,291,423,32066,67997,846,135994,"10mill-boot"
2,16,"petite","second",3736,4228,367737,632361,8456,1264722,285,427,29872,70339,854,140678,"10mill-boot"
2,17,"petite","second",3705,4214,359084,641194,8428,1282388,287,428,30442,69973,856,139946,"10mill-boot"
2,18,"petite","second",3618,4187,357224,642897,8374,1285794,271,420,29244,70784,840,141568,"10mill-boot"
2,19,"petite","second",3726,4191,361539,638466,8382,1276932,279,423,30267,69832,846,139664,"10mill-boot"
2,20,"petite","second",3643,4217,356845,643348,8434,1286696,285,418,31165,68840,836,137680,"10mill-boot"
