"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
2,15,"petite","second-15min",330,4440,44278,960384,4770,1004662,27,422,3983,96121,449,100104,"Equal Growth Rates"
2,16,"petite","second-15min",302,4481,39743,975779,4783,1015522,22,416,2965,97233,438,100198,"Equal Growth Rates"
2,17,"petite","second-15min",209,4548,27910,985660,4757,1013570,13,429,1939,98176,442,100115,"Equal Growth Rates"
2,18,"petite","second-15min",150,4547,20206,994508,4697,1014714,12,434,1542,98712,446,100254,"Equal Growth Rates"
2,19,"petite","second-15min",116,4601,15655,1002758,4717,1018413,9,431,1143,99116,440,100259,"Equal Growth Rates"
2,20,"petite","second-15min",86,4593,12330,998815,4679,1011145,7,427,881,99135,434,100016,"Equal Growth Rates"
2,21,"petite","second-15min",67,4607,9418,1000844,4674,1010262,3,437,388,99864,440,100252,"Equal Growth Rates"
2,22,"petite","second-15min",34,4623,4317,1001539,4657,1005856,2,434,334,99792,436,100126,"Equal Growth Rates"
2,23,"petite","second-15min",23,4638,2783,1006979,4661,1009762,2,437,230,99827,439,100057,"Equal Growth Rates"
2,24,"petite","second-15min",19,4643,2696,1000814,4662,1003510,2,424,221,99986,426,100207,"Equal Growth Rates"
38,1,"petite","second-15min",3810,2327,506389,510666,6137,1017055,279,263,39300,60767,542,100067,"Equal Growth Rates"
38,2,"petite","second-15min",3020,2720,409349,582574,5740,991923,209,291,31264,68756,500,100020,"Equal Growth Rates"
38,3,"petite","second-15min",2408,3223,325473,700750,5631,1026223,190,324,27366,72655,514,100021,"Equal Growth Rates"
38,4,"petite","second-15min",2166,3317,292435,730924,5483,1023359,173,337,23606,76734,510,100340,"Equal Growth Rates"
38,5,"petite","second-15min",1855,3539,251488,767905,5394,1019393,138,344,19399,80634,482,100033,"Equal Growth Rates"
38,6,"petite","second-15min",1535,3731,210210,807446,5266,1017656,107,359,15758,84611,466,100369,"Equal Growth Rates"
38,7,"petite","second-15min",1237,3930,168642,845953,5167,1014595,78,384,11476,88619,462,100095,"Equal Growth Rates"
38,8,"petite","second-15min",886,4144,120399,890940,5030,1011339,64,404,9324,90731,468,100055,"Equal Growth Rates"
38,9,"petite","second-15min",707,4245,95137,915031,4952,1010168,48,409,7094,93294,457,100388,"Equal Growth Rates"
38,10,"petite","second-15min",609,4283,83225,925859,4892,1009084,45,415,6537,93542,460,100079,"Equal Growth Rates"
38,11,"petite","second-15min",476,4387,62759,950494,4863,1013253,32,405,4820,95204,437,100024,"Equal Growth Rates"
38,12,"petite","second-15min",384,4418,51525,961066,4802,1012591,25,419,3756,96451,444,100207,"Equal Growth Rates"
38,13,"petite","second-15min",299,4483,39421,974661,4782,1014082,15,437,2374,97781,452,100155,"Equal Growth Rates"
38,14,"petite","second-15min",192,4550,25963,981920,4742,1007883,11,422,1854,98321,433,100175,"Equal Growth Rates"
38,15,"petite","second-15min",138,4572,17757,992515,4710,1010272,11,430,1407,98662,441,100069,"Equal Growth Rates"
38,16,"petite","second-15min",112,4575,15606,993581,4687,1009187,8,432,1270,99157,440,100427,"Equal Growth Rates"
38,17,"petite","second-15min",101,4607,14082,988081,4708,1002163,12,416,2033,98046,428,100079,"Equal Growth Rates"
38,18,"petite","second-15min",152,4567,20496,990738,4719,1011234,14,412,2142,97890,426,100032,"Equal Growth Rates"
38,19,"petite","second-15min",184,4539,24825,983166,4723,1007991,8,434,898,99105,442,100003,"Equal Growth Rates"
38,20,"petite","second-15min",74,4599,10136,995543,4673,1005679,2,426,291,99755,428,100046,"Equal Growth Rates"
38,21,"petite","second-15min",22,4644,3271,1002546,4666,1005817,3,435,351,99792,438,100143,"Equal Growth Rates"
38,22,"petite","second-15min",21,4633,2688,1004205,4654,1006893,1,424,85,100218,425,100303,"Equal Growth Rates"
5,1,"petite","second-15min",3863,2268,512295,492245,6131,1004540,288,262,41150,58969,550,100119,"Equal Growth Rates"
5,2,"petite","second-15min",3117,2681,418544,584057,5798,1002601,239,295,34191,65866,534,100057,"Equal Growth Rates"
5,3,"petite","second-15min",2553,3031,342077,660329,5584,1002406,186,324,25225,75044,510,100269,"Equal Growth Rates"
5,4,"petite","second-15min",1937,3505,261330,760495,5442,1021825,139,352,20798,79280,491,100078,"Equal Growth Rates"
5,5,"petite","second-15min",1587,3718,214494,809931,5305,1024425,114,366,15079,84949,480,100028,"Equal Growth Rates"
5,6,"petite","second-15min",1168,3938,155496,860307,5106,1015803,83,384,11262,88893,467,100155,"Equal Growth Rates"
5,7,"petite","second-15min",864,4143,116513,897227,5007,1013740,63,406,9040,91085,469,100125,"Equal Growth Rates"
5,8,"petite","second-15min",732,4210,100675,911232,4942,1011907,57,386,8509,91543,443,100052,"Equal Growth Rates"
5,9,"petite","second-15min",650,4264,88351,925144,4914,1013495,45,407,6684,93364,452,100048,"Equal Growth Rates"
5,10,"petite","second-15min",531,4335,71839,938984,4866,1010823,44,398,6254,93832,442,100086,"Equal Growth Rates"
5,11,"petite","second-15min",472,4373,63770,940318,4845,1004088,29,427,4362,95984,456,100346,"Equal Growth Rates"
5,12,"petite","second-15min",375,4448,50017,955815,4823,1005832,25,421,3456,97136,446,100592,"Equal Growth Rates"
5,13,"petite","second-15min",262,4532,36164,986237,4794,1022401,27,412,3703,96378,439,100081,"Equal Growth Rates"
5,14,"petite","second-15min",269,4500,34821,976959,4769,1011780,23,427,3125,96993,450,100118,"Equal Growth Rates"
5,15,"petite","second-15min",253,4514,34097,982266,4767,1016363,9,420,1498,98653,429,100151,"Equal Growth Rates"
5,16,"petite","second-15min",99,4594,13193,998804,4693,1011997,5,431,834,99269,436,100103,"Equal Growth Rates"
5,17,"petite","second-15min",68,4618,9191,997019,4686,1006210,5,448,669,99428,453,100097,"Equal Growth Rates"
5,18,"petite","second-15min",62,4598,8536,1004589,4660,1013125,5,436,794,99368,441,100162,"Equal Growth Rates"
5,19,"petite","second-15min",61,4610,7781,1004456,4671,1012237,8,442,941,99375,450,100316,"Equal Growth Rates"
5,20,"petite","second-15min",78,4618,11367,1000720,4696,1012087,6,424,726,99366,430,100092,"Equal Growth Rates"
5,21,"petite","second-15min",52,4611,6880,1003205,4663,1010085,2,430,345,99753,432,100098,"Equal Growth Rates"
5,22,"petite","second-15min",21,4640,3364,1003520,4661,1006884,5,451,972,99049,456,100021,"Equal Growth Rates"
5,23,"petite","second-15min",76,4584,10219,995037,4660,1005256,12,433,1753,98421,445,100174,"Equal Growth Rates"
