"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
10,5,"petite","second",129,585,13078,88401,714,101479,11,53,1253,8794,64,10047,"Normal"
10,6,"petite","second",75,622,7286,98899,697,106185,4,57,442,9783,61,10225,"Normal"
10,7,"petite","second",26,650,2466,101141,676,103607,3,54,300,9846,57,10146,"Normal"
10,8,"petite","second",22,644,2221,98953,666,101174,2,62,190,9846,64,10036,"Normal"
10,9,"petite","second",10,650,1225,98645,660,99870,1,58,165,9894,59,10059,"Normal"
32,1,"petite","second",371,430,37280,67472,801,104752,28,38,3144,6975,66,10119,"Normal"
32,2,"petite","second",242,503,23452,77031,745,100483,16,54,1491,8852,70,10343,"Normal"
32,3,"petite","second",104,600,10055,92236,704,102291,11,55,1088,8948,66,10036,"Normal"
32,4,"petite","second",73,611,6930,94412,684,101342,8,55,682,9378,63,10060,"Normal"
32,5,"petite","second",49,634,4720,96168,683,100888,4,56,467,9599,60,10066,"Normal"
32,6,"petite","second",36,651,3627,98870,687,102497,1,60,68,10118,61,10186,"Normal"
7,1,"petite","second",391,416,38423,64024,807,102447,25,44,3015,7018,69,10033,"Normal"
7,2,"petite","second",211,526,20428,81455,737,101883,22,53,2337,7748,75,10085,"Normal"
7,3,"petite","second",162,564,16305,86133,726,102438,11,56,1123,8915,67,10038,"Normal"
7,4,"petite","second",71,611,6971,93411,682,100382,2,58,222,9849,60,10071,"Normal"
7,5,"petite","second",18,648,2028,97074,666,99102,3,64,269,9737,67,10006,"Normal"
7,6,"petite","second",18,667,1774,103233,685,105007,2,61,134,10181,63,10315,"Normal"
33,1,"petite","second",366,440,36790,66025,806,102815,32,46,3385,6739,78,10124,"Normal"
33,2,"petite","second",265,481,25725,74717,746,100442,20,45,2376,7699,65,10075,"Normal"
