"sim_number","generation","diameter","experiment","experiment_name"
3,55,11,"slow_first_div","Slow First Division"
3,56,11,"slow_first_div","Slow First Division"
3,57,11,"slow_first_div","Slow First Division"
3,58,11,"slow_first_div","Slow First Division"
3,59,11,"slow_first_div","Slow First Division"
3,60,11,"slow_first_div","Slow First Division"
3,61,11,"slow_first_div","Slow First Division"
3,62,12,"slow_first_div","Slow First Division"
3,63,11,"slow_first_div","Slow First Division"
3,64,11,"slow_first_div","Slow First Division"
3,65,11,"slow_first_div","Slow First Division"
3,66,11,"slow_first_div","Slow First Division"
3,67,11,"slow_first_div","Slow First Division"
3,68,11,"slow_first_div","Slow First Division"
3,69,11,"slow_first_div","Slow First Division"
3,70,11,"slow_first_div","Slow First Division"
3,71,11,"slow_first_div","Slow First Division"
3,72,12,"slow_first_div","Slow First Division"
3,73,11,"slow_first_div","Slow First Division"
3,74,11,"slow_first_div","Slow First Division"
3,75,11,"slow_first_div","Slow First Division"
3,76,11,"slow_first_div","Slow First Division"
3,77,11,"slow_first_div","Slow First Division"
3,78,11,"slow_first_div","Slow First Division"
3,79,11,"slow_first_div","Slow First Division"
3,80,11,"slow_first_div","Slow First Division"
3,81,11,"slow_first_div","Slow First Division"
3,82,11,"slow_first_div","Slow First Division"
3,83,11,"slow_first_div","Slow First Division"
3,84,11,"slow_first_div","Slow First Division"
3,85,11,"slow_first_div","Slow First Division"
3,86,11,"slow_first_div","Slow First Division"
3,87,12,"slow_first_div","Slow First Division"
3,88,11,"slow_first_div","Slow First Division"
3,89,11,"slow_first_div","Slow First Division"
3,90,11,"slow_first_div","Slow First Division"
3,91,11,"slow_first_div","Slow First Division"
3,92,12,"slow_first_div","Slow First Division"
3,93,12,"slow_first_div","Slow First Division"
3,94,11,"slow_first_div","Slow First Division"
3,95,11,"slow_first_div","Slow First Division"
3,96,11,"slow_first_div","Slow First Division"
3,97,11,"slow_first_div","Slow First Division"
3,98,11,"slow_first_div","Slow First Division"
3,99,11,"slow_first_div","Slow First Division"
3,100,11,"slow_first_div","Slow First Division"
3,101,11,"slow_first_div","Slow First Division"
4,0,11,"slow_first_div","Slow First Division"
4,1,11,"slow_first_div","Slow First Division"
4,2,11,"slow_first_div","Slow First Division"
4,3,11,"slow_first_div","Slow First Division"
4,4,11,"slow_first_div","Slow First Division"
4,5,12,"slow_first_div","Slow First Division"
4,6,11,"slow_first_div","Slow First Division"
4,7,12,"slow_first_div","Slow First Division"
4,8,11,"slow_first_div","Slow First Division"
4,9,11,"slow_first_div","Slow First Division"
4,10,12,"slow_first_div","Slow First Division"
4,11,11,"slow_first_div","Slow First Division"
4,12,11,"slow_first_div","Slow First Division"
4,13,11,"slow_first_div","Slow First Division"
4,14,11,"slow_first_div","Slow First Division"
4,15,11,"slow_first_div","Slow First Division"
4,16,11,"slow_first_div","Slow First Division"
4,17,11,"slow_first_div","Slow First Division"
4,18,11,"slow_first_div","Slow First Division"
4,19,11,"slow_first_div","Slow First Division"
4,20,10,"slow_first_div","Slow First Division"
4,21,12,"slow_first_div","Slow First Division"
4,22,11,"slow_first_div","Slow First Division"
4,23,11,"slow_first_div","Slow First Division"
4,24,11,"slow_first_div","Slow First Division"
4,25,11,"slow_first_div","Slow First Division"
4,26,12,"slow_first_div","Slow First Division"
4,27,11,"slow_first_div","Slow First Division"
4,28,11,"slow_first_div","Slow First Division"
4,29,11,"slow_first_div","Slow First Division"
4,30,11,"slow_first_div","Slow First Division"
4,31,12,"slow_first_div","Slow First Division"
4,32,12,"slow_first_div","Slow First Division"
4,33,12,"slow_first_div","Slow First Division"
4,34,11,"slow_first_div","Slow First Division"
4,35,11,"slow_first_div","Slow First Division"
4,36,11,"slow_first_div","Slow First Division"
4,37,11,"slow_first_div","Slow First Division"
4,38,11,"slow_first_div","Slow First Division"
4,39,11,"slow_first_div","Slow First Division"
4,40,11,"slow_first_div","Slow First Division"
4,41,11,"slow_first_div","Slow First Division"
4,42,11,"slow_first_div","Slow First Division"
4,43,11,"slow_first_div","Slow First Division"
4,44,11,"slow_first_div","Slow First Division"
4,45,11,"slow_first_div","Slow First Division"
4,46,11,"slow_first_div","Slow First Division"
4,47,12,"slow_first_div","Slow First Division"
4,48,11,"slow_first_div","Slow First Division"
4,49,11,"slow_first_div","Slow First Division"
4,50,12,"slow_first_div","Slow First Division"
4,51,11,"slow_first_div","Slow First Division"
4,52,11,"slow_first_div","Slow First Division"
4,53,11,"slow_first_div","Slow First Division"
4,54,11,"slow_first_div","Slow First Division"
4,55,11,"slow_first_div","Slow First Division"
4,56,11,"slow_first_div","Slow First Division"
4,57,11,"slow_first_div","Slow First Division"
4,58,11,"slow_first_div","Slow First Division"
4,59,11,"slow_first_div","Slow First Division"
4,60,11,"slow_first_div","Slow First Division"
4,61,11,"slow_first_div","Slow First Division"
4,62,11,"slow_first_div","Slow First Division"
